OriginState,DestState,AvgFare
Florida,Washington,289.752604
Florida,West Virginia,217.4755471
Florida,Wisconsin,221.3145137
Florida,Wyoming,360.6205614
Georgia,Alabama,270.2352267
Georgia,Alaska,418.8764637
Georgia,Arizona,279.661556
Georgia,Arkansas,285.30516
Georgia,California,308.1739646
Georgia,Colorado,236.9159458
Georgia,Connecticut,249.8150076
Georgia,Florida,192.4201565
Georgia,Georgia,213.1986835
Georgia,Hawaii,559.6968586
Georgia,Idaho,333.1026643
Georgia,Illinois,198.478416
Georgia,Indiana,223.014574
Georgia,Iowa,272.6029356
Georgia,Kansas,277.735108
Georgia,Kentucky,266.1507441
Georgia,Louisiana,234.2774596
Georgia,Maine,260.3632521
Georgia,Maryland,188.982699
Georgia,Massachusetts,247.191356
Georgia,Michigan,251.4257189
Georgia,Minnesota,284.5746725
Georgia,Mississippi,285.9105185
Georgia,Missouri,209.3961034
Georgia,Montana,346.4519414
Georgia,Nebraska,270.8343546
Georgia,Nevada,275.979558
Georgia,New Hampshire,234.9171332
Georgia,New Jersey,265.486762
Georgia,New Mexico,281.4106895
Georgia,New York,249.0759469
Georgia,North Carolina,232.3073999
Georgia,North Dakota,337.7662078
Georgia,Ohio,193.5059414
Georgia,Oklahoma,244.7118952
Georgia,Oregon,325.7666132
Georgia,Pennsylvania,204.1851324
Georgia,Puerto Rico,287.825954
Georgia,Rhode Island,252.5121707
Georgia,South Carolina,276.6751743
Georgia,South Dakota,308.9663846
Georgia,Tennessee,291.2440404
Georgia,Texas,216.4990645
Georgia,U.S. Pacific Trust Territories and Possessions,1151.1455
Georgia,U.S. Virgin Islands,347.565912
Georgia,Utah,321.9524886
Georgia,Vermont,260.3290097
Georgia,Virginia,221.9918072
Georgia,Washington,321.5054096
Georgia,West Virginia,261.278273
Georgia,Wisconsin,245.2676458
Georgia,Wyoming,334.4891394
Hawaii,Alabama,596.8222842
Hawaii,Alaska,385.4125791
Hawaii,Arizona,383.2652143
Hawaii,Arkansas,577.4869553
Hawaii,California,364.5947872
Hawaii,Colorado,468.3311541
Hawaii,Connecticut,540.038626
Hawaii,Florida,558.2245536
Hawaii,Georgia,562.2205999
Hawaii,Hawaii,127.2044812
Hawaii,Idaho,361.3326102
Hawaii,Illinois,520.8945361
Hawaii,Indiana,565.4987917
Hawaii,Iowa,525.6320378
Hawaii,Kansas,569.8430413
Hawaii,Kentucky,553.7194963
Hawaii,Louisiana,527.1727388
Hawaii,Maine,568.9503563
Hawaii,Maryland,512.2592786
Hawaii,Massachusetts,527.5333642
Hawaii,Michigan,537.2342103
Hawaii,Minnesota,486.1683014
Hawaii,Mississippi,570.0446735
Hawaii,Missouri,498.0442442
Hawaii,Montana,395.2767799
Hawaii,Nebraska,508.2160755
Hawaii,Nevada,369.6001306
Hawaii,New Hampshire,572.102619
Hawaii,New Jersey,581.1129719
Hawaii,New Mexico,450.7420408
Hawaii,New York,536.4400265
Hawaii,North Carolina,523.9635114
Hawaii,North Dakota,532.3660859
Hawaii,Ohio,530.195
Hawaii,Oklahoma,546.8116652
Hawaii,Oregon,324.6945317
Hawaii,Pennsylvania,525.4200511
Hawaii,Puerto Rico,587.628623
Hawaii,Rhode Island,544.4119678
Hawaii,South Carolina,561.977416
Hawaii,South Dakota,573.0389783
Hawaii,Tennessee,561.7609992
Hawaii,Texas,516.8865499
Hawaii,U.S. Pacific Trust Territories and Possessions,808.9718683
Hawaii,U.S. Virgin Islands,597.1822222
Hawaii,Utah,343.3827241
Hawaii,Vermont,555.1703529
Hawaii,Virginia,558.3178623
Hawaii,Washington,335.0928705
Hawaii,West Virginia,600.7902381
Hawaii,Wisconsin,509.7295561
Hawaii,Wyoming,517.7597411
Idaho,Alabama,376.7809235
Idaho,Alaska,283.9228778
Idaho,Arizona,201.0085379
Idaho,Arkansas,349.8016517
Idaho,California,206.3012291
Idaho,Colorado,230.7808407
Idaho,Connecticut,316.4064567
Idaho,Florida,308.7713483
Idaho,Georgia,331.9769912
Idaho,Hawaii,355.9366422
Idaho,Idaho,159.506572
Idaho,Illinois,308.2290623
Idaho,Indiana,302.4963837
Idaho,Iowa,306.5271271
Idaho,Kansas,312.5719758
Idaho,Kentucky,355.2784906
Idaho,Louisiana,308.0460742
Idaho,Maine,429.1890728
Idaho,Maryland,285.7009859
Idaho,Massachusetts,318.7903901
Idaho,Michigan,324.784142
Idaho,Minnesota,318.3044534
Idaho,Mississippi,357.7471538
Idaho,Missouri,274.2555796
Idaho,Montana,251.0915174
Idaho,Nebraska,269.0954814
Idaho,Nevada,171.9913644
Idaho,New Hampshire,352.2578351
Idaho,New Jersey,354.813594
Idaho,New Mexico,258.4422678
Idaho,New York,361.9478051
Idaho,North Carolina,331.5235379
Idaho,North Dakota,357.7306634
Idaho,Ohio,311.8208085
Idaho,Oklahoma,280.5777235
Idaho,Oregon,177.7162263
Idaho,Pennsylvania,370.7571508
Idaho,Puerto Rico,380.4542941
Idaho,Rhode Island,415.7309639
Idaho,South Carolina,387.5512621
Idaho,South Dakota,324.618399
Idaho,Tennessee,335.9061381
Idaho,Texas,272.2299245
Idaho,U.S. Pacific Trust Territories and Possessions,1376.129091
Idaho,U.S. Virgin Islands,466.722619
Idaho,Utah,278.2639266
Idaho,Vermont,369.1066387
Idaho,Virginia,352.6104784
Idaho,Washington,156.669549
Idaho,West Virginia,403.9441667
Idaho,Wisconsin,320.110796
Idaho,Wyoming,297.1054978
Illinois,Alabama,243.6675246
Illinois,Alaska,390.7190436
Illinois,Arizona,249.2425931
Illinois,Arkansas,297.7751798
