StatePair,OriginState,DestState,TotalFare,TotalTickets,AvgFare
Mississippi:Oklahoma,Mississippi,Oklahoma,196138.84000000005,785,249.85839490445866
Pennsylvania:Maryland,Pennsylvania,Maryland,244600.96000000025,1384,176.73479768786146
Colorado:South Carolina,Colorado,South Carolina,1981292.9499999988,7293,271.67049910873425
Maryland:Maine,Maryland,Maine,256716.51999999996,1312,195.66807926829264
Alaska:Rhode Island,Alaska,Rhode Island,26944.15,64,421.00234375
Maryland:North Dakota,Maryland,North Dakota,211853.87,685,309.2757226277372
Kentucky:Wisconsin,Kentucky,Wisconsin,923445.9200000006,3240,285.0141728395064
North Carolina:Alaska,North Carolina,Alaska,875303.7899999995,2099,417.0099047165314
Massachusetts:California,Massachusetts,California,30040342.710000042,88327,340.1037362301453
Maryland:Oklahoma,Maryland,Oklahoma,805717.3799999999,3491,230.79844743626464
New Hampshire:Washington,New Hampshire,Washington,225741.62999999974,796,283.59501256281374
Massachusetts:Massachusetts,Massachusetts,Massachusetts,130987.17999999998,886,147.84106094808124
Iowa:Hawaii,Iowa,Hawaii,717714.5199999993,1372,523.1155393586001
Missouri:U.S. Pacific Trust Territories and Possessions,Missouri,U.S. Pacific Trust Territories and Possessions,52565.87,47,1118.422765957447
Wyoming:Texas,Wyoming,Texas,1544967.5100000002,4522,341.6557961079169
Arkansas:Oklahoma,Arkansas,Oklahoma,58440.47000000001,241,242.4915767634855
New Hampshire:Alaska,New Hampshire,Alaska,22214.260000000002,54,411.3751851851852
Idaho:New Jersey,Idaho,New Jersey,381069.8000000003,1074,354.8135940409686
Maryland:Vermont,Maryland,Vermont,50834.93,167,304.4007784431138
Georgia:New Mexico,Georgia,New Mexico,918243.0799999996,3263,281.41068954949424
Mississippi:Indiana,Mississippi,Indiana,232227.54000000004,811,286.34715166461166
Utah:Mississippi,Utah,Mississippi,201030.83,637,315.59
Massachusetts:Pennsylvania,Massachusetts,Pennsylvania,4386730.290000004,22452,195.38260689470889
Florida:Hawaii,Florida,Hawaii,6653398.000000006,12148,547.6949292064542
Kentucky:Oklahoma,Kentucky,Oklahoma,653589.1300000004,2213,295.3407727067331
West Virginia:Montana,West Virginia,Montana,49556.79,112,442.4713392857143
Maine:Florida,Maine,Florida,3315894.1599999997,14509,228.54050313598455
Alabama:New York,Alabama,New York,2743147.410000002,9883,277.5622189618539
South Carolina:New Hampshire,South Carolina,New Hampshire,299398.4999999996,1412,212.03859773371076
Georgia:New Jersey,Georgia,New Jersey,4463628.930000004,16813,265.4867620293823
Ohio:Vermont,Ohio,Vermont,196692.07999999984,683,287.98254758418716
Mississippi:Wisconsin,Mississippi,Wisconsin,262770.4200000001,960,273.7191875000001
South Carolina:Oklahoma,South Carolina,Oklahoma,656360.1999999997,2483,264.341602899718
West Virginia:Maine,West Virginia,Maine,41282.779999999984,119,346.9141176470587
Tennessee:Rhode Island,Tennessee,Rhode Island,653988.3099999998,2521,259.41622768742553
Maryland:Mississippi,Maryland,Mississippi,294206.3299999999,1168,251.88898116438347
U.S. Virgin Islands:Oklahoma,U.S. Virgin Islands,Oklahoma,155705.28999999995,365,426.5898356164382
Louisiana:Florida,Louisiana,Florida,5843623.23000001,27275,214.248331072411
California:Wyoming,California,Wyoming,1737860.2000000016,5477,317.3014789118133
Texas:New York,Texas,New York,28763843.910000224,109538,262.5923780788423
South Dakota:South Dakota,South Dakota,South Dakota,18594.93,45,413.22066666666666
Oklahoma:New Mexico,Oklahoma,New Mexico,386746.01000000007,1497,258.34736806947234
California:U.S. Pacific Trust Territories and Possessions,California,U.S. Pacific Trust Territories and Possessions,1131606.1799999997,1183,956.556365173288
New Jersey:Maryland,New Jersey,Maryland,85094.88999999997,302,281.77115894039724
Texas:Arkansas,Texas,Arkansas,3746845.7800000035,14888,251.66884605051072
Wyoming:Louisiana,Wyoming,Louisiana,269906.32999999984,708,381.2236299435026
Alabama:Kentucky,Alabama,Kentucky,516479.03999999986,1674,308.5298924731182
Utah:Minnesota,Utah,Minnesota,1627700.489999999,5166,315.0794599303134
North Dakota:Maine,North Dakota,Maine,71704.26999999999,202,354.9716336633663
Maine:U.S. Virgin Islands,Maine,U.S. Virgin Islands,38120.39999999999,97,392.99381443298955
Texas:North Dakota,Texas,North Dakota,3021741.1599999983,8636,349.9005511811022
U.S. Pacific Trust Territories and Possessions:Florida,U.S. Pacific Trust Territories and Possessions,Florida,151021.36,135,1118.6767407407406
Iowa:Washington,Iowa,Washington,950882.4300000005,3298,288.3209308671924
Utah:Massachusetts,Utah,Massachusetts,2207589.8000000003,6627,333.12053719631814
Louisiana:Louisiana,Louisiana,Louisiana,60847.65000000001,192,316.91484375000005
New Hampshire:New Jersey,New Hampshire,New Jersey,155384.67999999996,515,301.7178252427184
Colorado:Washington,Colorado,Washington,4352285.62999999,20175,215.72667311028448
U.S. Virgin Islands:Pennsylvania,U.S. Virgin Islands,Pennsylvania,840108.1500000004,2175,386.25662068965534
Vermont:New York,Vermont,New York,502962.5800000003,3009,167.1527351279496
Michigan:North Carolina,Michigan,North Carolina,5338980.090000008,20232,263.8879048042709
U.S. Pacific Trust Territories and Possessions:Rhode Island,U.S. Pacific Trust Territories and Possessions,Rhode Island,20608.48,14,1472.0342857142857
Wyoming:Alaska,Wyoming,Alaska,134739.63000000003,294,458.2980612244899
Missouri:Kansas,Missouri,Kansas,115794.83999999995,548,211.30445255474444
West Virginia:Utah,West Virginia,Utah,91345.20000000003,233,392.0394849785409
Louisiana:Rhode Island,Louisiana,Rhode Island,431804.36000000016,1670,258.5654850299402
Nevada:Tennessee,Nevada,Tennessee,3169543.990000008,11771,269.2671812080544
New Mexico:Oregon,New Mexico,Oregon,747031.4600000007,3629,205.85049875998916
South Dakota:Wyoming,South Dakota,Wyoming,27903.28,92,303.2965217391304
Nevada:Mississippi,Nevada,Mississippi,497600.5099999999,1666,298.6797779111644
U.S. Pacific Trust Territories and Possessions:Louisiana,U.S. Pacific Trust Territories and Possessions,Louisiana,43461.130000000005,35,1241.7465714285715
Wisconsin:Montana,Wisconsin,Montana,556836.0800000004,1878,296.50483493077763
West Virginia:Washington,West Virginia,Washington,131732.47,351,375.30618233618236
Kentucky:North Carolina,Kentucky,North Carolina,2807327.119999993,10980,255.67642258652032
Colorado:Oklahoma,Colorado,Oklahoma,2047239.3600000003,10195,200.80817655713588
Oklahoma:Georgia,Oklahoma,Georgia,1976115.6000000036,8109,243.69411764705927
West Virginia:South Dakota,West Virginia,South Dakota,19698.729999999996,57,345.59175438596486
Wyoming:Massachusetts,Wyoming,Massachusetts,500530.81,1293,387.108128383604
